episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_GO_HOLD_INTCPT,state_PURSUING,state_HOLD_INTCPT
26,1632,11812.02183529261,40,17,14,72,0.0,0.061274509803921566,95.1886189258312,1.4732523444160273,3.178282182438193,0.09857203751065644
27,1787,4612.556313472512,40,23,19,62,0.0,0.055959709009513164,96.3856611475032,1.820336416603575,0.04279271865433358,1.6952500082293689
28,1786,14874.8653690044,40,19,14,72,0.0,0.055991041433370685,95.53138164560336,1.2024742707833413,0.2986188876446435,2.9115341545352744
29,1632,17851.496020350325,40,13,11,78,0.0,0.0612745098039216,94.546568627451,1.5749818445896877,0.26325344952795926,3.5539215686274512
30,1880,24206.918466063038,40,14,11,78,0.0,0.05319148936170216,96.26022913256955,3.1178396072013093,0.045008183306055646,0.5237315875613748
31,1810,9593.070043457321,40,19,17,66,0.0,0.055248618784530364,96.36148382004735,2.87292817679558,0.6682451986319391,0.042094185740594585
32,1632,15773.537373838863,40,19,12,76,0.0,0.0612745098039216,95.3548085901027,1.3626283846872083,3.1366713352007465,0.0846171802054155
33,1766,18235.92208891253,40,20,12,76,0.0,0.056625141562853934,96.40713476783694,2.080973952434881,0.036806342015855045,1.4184597961494907
34,1908,23169.748822905618,40,12,13,74,0.0,0.052410901467505225,95.37848158131177,3.1352949985025456,1.214809823300389,0.21900269541778977
35,1810,15551.361639511577,40,19,14,72,0.0,0.055248618784530364,96.5351223362273,1.9468560905024992,0.034201525914233095,1.4285714285714284
36,1786,8509.073109445506,40,18,17,66,0.0,0.05599104143337065,95.39346431843633,0.872951236893006,3.402728290746208,0.2748651124910923
37,1792,23091.13572217537,40,18,10,80,0.0,0.05580357142857145,94.83309659090908,1.3291396103896105,3.4623579545454546,0.31960227272727276
38,1785,16673.429404691207,40,20,13,74,0.0,0.05602240896358541,95.4453781512605,1.5910364145658262,2.8655462184873945,0.04201680672268908
39,1860,31544.191076405616,40,16,7,86,0.0,0.053763440860215055,95.52195340501792,1.3911290322580645,0.282258064516129,2.75089605734767
40,1632,21814.347582220576,40,21,9,82,0.0,0.061274509803921566,95.08836429308568,1.4705882352941178,3.3378482972136228,0.04192466460268318
41,1690,19692.515973123132,40,17,11,78,0.0,0.059171597633136085,94.44816053511705,1.2580396192436325,4.185747363004888,0.048880885001286345
42,1765,16092.268321964018,40,19,13,74,0.0,0.05665722379603402,94.80372318899234,1.5621205989477942,0.04046944556859571,3.5370295426952656
43,1773,22502.237819524653,40,21,10,80,0.0,0.05640157924421882,95.69863745658562,0.9558583429809718,2.9506931457238696,0.338409475465313
