episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
360,396,980.9274376837316,10,3,1,90
361,475,1435.5012529053752,10,3,0,100
362,413,1107.0071215374421,10,5,1,90
363,481,1613.2664107133328,10,4,1,90
364,422,1182.8142982776785,10,3,0,100
365,623,2380.6368028634747,10,7,2,80
366,623,1656.2782279953635,10,5,4,60
367,432,619.0049168866504,10,5,3,70
368,621,2186.1047717553656,10,5,1,90
369,787,3340.783630397095,10,5,1,90
370,420,19.663613524093062,10,7,6,40
371,485,1171.4357487186403,10,4,2,80
372,500,1315.7122594565706,10,7,3,70
373,693,2311.938898499647,10,7,2,80
374,682,2298.279928871693,10,3,1,90
375,492,1710.3655973689804,10,5,0,100
376,643,2675.3793062212735,10,5,1,90
377,510,760.9314305558144,10,5,5,50
378,453,1417.59259506613,10,3,1,90
379,556,1825.6075913519173,10,5,1,90
380,428,1050.4395195999775,10,7,1,90
381,576,2584.841537585532,10,4,0,100
382,684,2152.789096714117,10,6,3,70
383,453,918.4339728198063,10,5,3,70
384,446,1253.6248010448558,10,3,0,100
385,532,1841.717699251904,10,5,2,80
386,585,1525.1577228463655,10,4,2,80
387,511,464.88908374671973,10,5,6,40
388,633,2304.9060671419356,10,5,1,90
389,591,2639.507400743862,10,2,0,100
390,500,741.5322246328492,10,7,3,70
391,542,1150.5662302604896,10,4,2,80
392,628,1636.4133219789076,10,6,3,70
393,423,1104.6021059258828,10,5,2,80
394,578,1836.6988518184917,10,5,3,70
395,489,1278.3431220765224,10,5,2,80
396,404,578.167076557199,10,6,3,70
397,481,1399.0587283929235,10,2,0,100
398,419,734.0628596090983,10,4,1,90
399,554,2033.7359580226514,10,3,0,100
