episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_AEW,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD_SPREAD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
18,1143,22686.96925927405,40,35,3,94,9237.0024791795,60.0,5.144356955380577,25.056867891513562,1.399825021872266,1.452318460192476,4.531933508311461
19,1123,24479.030627728414,40,20,0,100,24701.831281101542,20.0,0.7390917186108636,68.21015138023152,4.256455921638469,2.8406055209260903,3.9536954585930544
20,1120,24156.084315172273,40,24,0,100,21474.05352639541,25.0,0.5859375000000001,64.24107142857143,3.9843749999999996,2.661830357142857,3.5267857142857144
21,1179,25676.00604306236,40,25,1,98,21334.293445307394,20.0,1.6793893129770994,65.61492790500425,2.832909245122985,1.8094430308170768,8.063330506078596
22,1288,28256.217519099067,40,27,1,98,20238.697524953488,23.076923076923077,2.586000955566173,61.508600095556616,3.690874343048256,1.8454371715241282,7.292164357381749
23,1625,41385.920045259634,40,22,0,100,29562.125111366287,22.22222222222222,1.117948717948718,67.49059829059829,2.7521367521367526,1.781196581196581,4.635897435897436
24,1166,25003.342418130953,40,28,1,98,17815.21278375774,25.0,1.9439679817038307,62.24271012006861,3.5734705546026304,1.5008576329331047,5.738993710691824
25,1042,21191.544181405145,40,26,0,100,18800.193693729794,28.571428571428573,2.7556896078969015,58.72635042500685,2.865368796270908,1.0693720866465588,6.011790512750206
26,1208,26785.041107682064,40,20,0,100,26227.95692798175,15.0,0.9933774834437086,71.44453642384106,3.7458609271523176,2.119205298013245,6.697019867549669
27,1334,31116.162045090663,40,23,0,100,23613.071446149945,17.647058823529413,1.5565746538495457,69.5078931122674,2.381162359996473,1.8476056089602257,7.0597054413969484
28,1266,28794.320364612984,40,25,0,100,21115.3392492156,20.0,1.5165876777251186,68.51500789889415,2.9541864139020535,1.8536071616640337,5.160610847814639
29,1030,20646.344704104,40,29,1,98,17135.727314758333,36.36363636363637,4.810238305383937,48.52603706972639,1.6946160635481022,1.2268314210061781,7.3786407766990285
30,1096,22482.891254667047,40,27,1,98,17364.87117890235,30.76923076923077,1.5160022459292533,59.8820887142055,2.007299270072993,2.168725435148793,3.6566535654126895
31,1064,21520.23515922253,40,33,0,100,11663.168301621365,28.571428571428573,2.2019334049409234,57.612781954887225,5.249731471535983,3.02094522019334,3.343179377013964
32,932,17314.743411017575,40,24,0,100,19472.707444285334,18.75,2.3873390557939915,61.25938841201716,4.298551502145923,2.1258047210300433,11.178916309012875
33,1014,19567.26321250094,40,28,0,100,17281.118943305515,25.0,2.5065746219592375,58.44017094017094,3.3037475345167655,2.5558842866535176,8.193622616699539
34,1309,28773.97153754497,40,33,2,96,13038.884524099303,42.85714285714286,2.8702390046927864,45.11622830950562,2.444614209320092,0.7639419404125285,5.947833678926116
35,1588,39417.126465447145,40,27,0,100,24197.073212700005,23.076923076923077,2.136213912032552,63.97984886649874,2.6884324743266816,1.6711877543111802,6.44739391590777
36,945,17923.99936001032,40,28,0,100,14852.913832838141,16.666666666666668,1.7548500881834217,68.17460317460316,4.082892416225749,2.1957671957671963,7.125220458553792
37,1432,33706.69738454485,40,27,0,100,15880.65202575062,7.6923076923076925,1.3268156424581004,81.35474860335196,3.067253975075204,2.111087236785561,4.447786850021488
38,1106,22632.20763826973,40,32,1,98,10494.653950920205,12.5,1.8648282097649185,75.30515370705244,2.836799276672694,2.633363471971067,4.85985533453888
